Starting Salary,Home Value (3x) (eager spending),Home Value (2.5x) (conservative spending),Rent (30%)
20000,60000,50000,6000
40000,120000,100000,12000
60000,180000,150000,18000
80000,240000,200000,24000
100000,300000,250000,30000
120000,360000,300000,36000
140000,420000,350000,42000
160000,480000,400000,48000
180000,540000,450000,54000
200000,600000,500000,60000
220000,660000,550000,66000
240000,720000,600000,72000
260000,780000,650000,78000
280000,840000,700000,84000
300000,900000,750000,90000
320000,960000,800000,96000
340000,1020000,850000,102000
360000,1080000,900000,108000
380000,1140000,950000,114000
400000,1200000,1000000,120000
420000,1260000,1050000,126000
440000,1320000,1100000,132000
460000,1380000,1150000,138000
480000,1440000,1200000,144000
500000,1500000,1250000,150000
