State,Average Home Growth Rate,Salary Needed to Buy a House,Cost of Raising Child
WA,4.8,176669,28000
OR,3.15,161967,26000
CA,3.8,210557,29000
ID,4.4,164750,21000
NV,4.95,142369,27000
MT,5.7,178017,21000
WY,6.65,135463,21000
UT,4.7,173744,21000
AZ,2.85,140470,24000
ND,4.7,103055,22000
SD,3.8,108930,19000
NE,5.1,99831,23000
CO,2.85,166370,30000
NM,5.3,114555,20000
KS,6.2,83549,19000
OK,4.5,85401,20000
TX,3,105868,21000
MN,4.35,110403,27000
IA,4.15,82117,23000
MO,6,85371,20000
AR,4.75,85695,17000
LA,1.55,80969,18000
WI,6.35,107769,24000
IL,6.75,86122,24000
MS,5.75,85239,16000
MI,6.65,79128,23000
IN,6.4,82427,22000
KY,6.15,88051,19000
TN,4.65,124832,20000
AL,5.3,94000,19000
OH,7.25,74358,23000
GA,4.5,113495,20000
FL,2.45,127343,21000
ME,6.55,129397,25000
VT,7.8,145770,27000
NH,7,165512,28000
MA,5.85,215696,36000
NY,7.5,189207,30000
CT,8.35,146161,33000
RI,8.3,147228,28000
PA,6.55,87168,25000
NJ,8.05,159744,27000
WV,6.6,73327,20000
MD,5.4,117793,25000
DC,1.75,150005,24000
DE,5.35,141335,26000
VA,6.7,121461,24000
NC,5.1,117573,22000
SC,5.8,103070,20000
AK,6.65,122211,27000
HI,-0.3,235588,35000
