State,Income*,inc-nat ratio,Income range,tax rate,eff_tax_rate_100k,Next_income_range,tax_at_100k
United States overall,77719,1,0,0.1,0.16914,11925,1192.5
United States overall,77719,1,11925,0.12,0.16914,48475,4386
United States overall,77719,1,48475,0.22,0.16914,103350,11335.5
United States overall,77719,1,103350,0.24,0.16914,197300,0
United States overall,77719,1,197300,0.32,0.16914,250525,0
United States overall,77719,1,250525,0.35,0.16914,626350,0
United States overall,77719,1,626350,0.37,0.16914,1000000000,0
Alabama,62212,0.800473501,0,0.02,0.0496,500,10
Alabama,62212,0.800473501,500,0.04,0.0496,3000,100
Alabama,62212,0.800473501,3000,0.05,0.0496,1000000000,4850
Alaska,86631,1.114669515,0,0,0,1000000000,0
Arizona,77315,0.994801786,0,0.03,0.03,1000000000,3000
Arkansas,58700,0.755285065,0,0.02,0.0391,4500,90
Arkansas,58700,0.755285065,4500,0.04,0.0391,1000000000,3820
California,95521,1.229055958,0,0.01,0.0575418,10756,107.56
California,95521,1.229055958,10756,0.02,0.0575418,25499,294.86
California,95521,1.229055958,25499,0.04,0.0575418,40245,589.84
California,95521,1.229055958,40245,0.06,0.0575418,55866,937.26
California,95521,1.229055958,55866,0.08,0.0575418,70606,1179.2
California,95521,1.229055958,70606,0.09,0.0575418,360659,2645.46
California,95521,1.229055958,360659,0.1,0.0575418,432787,0
California,95521,1.229055958,432787,0.11,0.0575418,721314,0
California,95521,1.229055958,721314,0.12,0.0575418,1000000,0
California,95521,1.229055958,1000000,0.13,0.0575418,1000000000,0
Colorado,92911,1.195473436,0,0.04,0.04,1000000000,4000
Connecticut,91665,1.179441321,0,0.02,0.052,10000,200
Connecticut,91665,1.179441321,10000,0.05,0.052,50000,2000
Connecticut,91665,1.179441321,50000,0.06,0.052,100000,3000
Connecticut,91665,1.179441321,100000,0.06,0.052,200000,0
Connecticut,91665,1.179441321,200000,0.07,0.052,250000,0
Connecticut,91665,1.179441321,250000,0.07,0.052,500000,0
Connecticut,91665,1.179441321,500000,0.07,0.052,1000000000,0
