salary_table
Career_ID,Career_Title,Category,Starting Salary,Salary_growth_mean,salary_growth_sd
11-0000,Management Occupations,Management,79900,0.029334123,0.051840396
11-1010,Chief Executives,Management,126080,0.019124652,0.039595862
11-1020,General and Operations Managers,Management,67160,0.006093984,0.025537478
11-1030,Legislators,Management,29120,0.096001024,0.113495483
11-2010,Advertising and Promotions Managers,Management,85990,0.032783619,0.050332877
11-2020,Marketing and Sales Managers,Management,101200,0.025384762,0.031937944
11-2030,Public Relations and Fundraising Managers,Management,99190,0.027509993,0.012700297
11-3010,Administrative Services and Facilities Managers,Management,82360,0.024386841,0.014195582
11-3020,Computer and Information Systems Managers,Management,134350,0.029713675,0.011071592
11-3030,Financial Managers,Management,118360,0.036204938,0.03677845
11-3050,Industrial Production Managers,Management,94620,0.029513406,0.036015878
11-3060,Purchasing Managers,Management,107430,0.028771549,0.010191058
11-3070,"Transportation, Storage, and Distribution Managers",Management,78360,0.018399149,0.013093188
11-3110,Compensation and Benefits Managers,Management,105210,0.026025371,0.010499732
11-3120,Human Resources Managers,Management,105590,0.033147043,0.008048872
11-3130,Training and Development Managers,Management,96110,0.024098568,0.013002723
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",Management,67970,0.036588661,0.045546169
11-9020,Construction Managers,Management,83480,0.022724713,0.004767461
11-9030,Education and Childcare Administrators,Management,77100,0.018592574,0.007286883
11-9040,Architectural and Engineering Managers,Management,134930,0.026347121,0.011313676
11-9050,Food Service Managers,Management,53090,0.033216259,0.010561343
11-9070,Entertainment and Recreation Managers,Management,59450,0.05074958,0.041647248
11-9080,Lodging Managers,Management,50040,0.035748303,0.017129357
11-9110,Medical and Health Services Managers,Management,88560,0.02526735,0.027191294
11-9120,Natural Sciences Managers,Management,114110,0.033664862,0.033970817
11-9130,Postmasters and Mail Superintendents,Management,87150,0.030863135,0.019883989
11-9140,"Property, Real Estate, and Community Association Managers",Management,49530,0.021081749,0.021563131
11-9150,Social and Community Service Managers,Management,62420,0.023602138,0.021032742
11-9160,Emergency Management Directors,Management,64470,0.027881331,0.018167801
11-9190,Miscellaneous Managers,Management,100010,0.01959866,0.014408758
13-0000,Business and Financial Operations Occupations,Business/Finance,61430,0.02716919,0.01952261
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",Business/Finance,63100,0.049335828,0.047463591
13-1020,Buyers and Purchasing Agents,Business/Finance,58670,0.027340885,0.03457618
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",Business/Finance,60220,0.022891349,0.042173576
13-1040,Compliance Officers,Business/Finance,59130,0.020098485,0.017736904
13-1050,Cost Estimators,Business/Finance,59830,0.027869062,0.030587409
13-1070,Human Resources Workers,Business/Finance,56540,0.02741547,0.028975933
13-1080,Logisticians and Project Management Specialists,Business/Finance,74260,0.031552784,0.035750326
13-1110,Management Analysts,Business/Finance,76770,0.024725528,0.01793909
13-1120,"Meeting, Convention, and Event Planners",Business/Finance,45610,0.0273493,0.03472662
13-1130,Fundraisers,Business/Finance,52590,0.025638297,0.011611482
13-1140,"Compensation, Benefits, and Job Analysis Specialists",Business/Finance,59700,0.027207612,0.039557036
13-1150,Training and Development Specialists,Business/Finance,48900,0.013882558,0.013900476
13-1160,Market Research Analysts and Marketing Specialists,Business/Finance,56220,0.024609626,0.037178221
13-1190,Miscellaneous Business Operations Specialists,Business/Finance,60820,0.020066694,0.014155023
13-2010,Accountants and Auditors,Business/Finance,64660,0.021996967,0.011961777
13-2020,Property Appraisers and Assessors,Business/Finance,49310,0.026355537,0.022070476
13-2030,Budget Analysts,Business/Finance,72240,0.023160689,0.011227327
13-2040,Credit Analysts,Business/Finance,63850,0.016874018,0.010590304
13-2050,Financial Analysts and Advisors,Business/Finance,74840,0.042327366,0.041010268
13-2060,Financial Examiners,Business/Finance,66800,0.016788987,0.025296609
13-2070,Credit Counselors and Loan Officers,Business/Finance,49470,0.014217622,0.021394283
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",Business/Finance,41540,0.02564292,0.026751144
13-2090,Miscellaneous Financial Specialists,Business/Finance,60140,0.024401146,0.023088038
15-0000,Computer and Mathematical Occupations,Math and Computers,76350,0.033671425,0.018876783
15-2010,Actuaries,Math and Computers,90970,0.029756436,0.03556722
15-2020,Mathematicians,Math and Computers,85720,0.010789911,0.038048165
15-2030,Operations Research Analysts,Math and Computers,66910,0.017371,0.038514608
15-2040,Statisticians,Math and Computers,79210,0.028836846,0.020633092
15-2090,Miscellaneous Mathematical Science Occupations,Math and Computers,52440,0.020413788,0.066852005
17-0000,Architecture and Engineering Occupations,Architecture/Engineering,74040,0.033267471,0.045988237
17-1010,"Architects, Except Naval",Architecture/Engineering,74280,0.027282526,0.030530129
17-1020,"Surveyors, Cartographers, and Photogrammetrists",Architecture/Engineering,56480,0.02660448,0.041850888
17-2010,Aerospace Engineers,Architecture/Engineering,104740,0.025174097,0.00892019
17-2020,Agricultural Engineers,Architecture/Engineering,49930,0.013989696,0.037253037
17-2030,Bioengineers and Biomedical Engineers,Architecture/Engineering,86630,0.024435751,0.021897544
17-2040,Chemical Engineers,Architecture/Engineering,96040,0.025745765,0.033786966
17-2050,Civil Engineers,Architecture/Engineering,78790,0.021707198,0.02063148
17-2060,Computer Hardware Engineers,Architecture/Engineering,115500,0.037693459,0.039094126
17-2070,Electrical and Electronics Engineers,Architecture/Engineering,92390,0.025207414,0.028693879
17-2080,Environmental Engineers,Architecture/Engineering,80510,0.023595156,0.018641873
17-2110,"Industrial Engineers, Including Health and Safety",Architecture/Engineering,81990,0.021959519,0.018052586
17-2120,Marine Engineers and Naval Architects,Architecture/Engineering,88480,0.014498095,0.027762623
17-2130,Materials Engineers,Architecture/Engineering,85820,0.019312071,0.019031986
17-2140,Mechanical Engineers,Architecture/Engineering,81800,0.022818824,0.015259961
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",Architecture/Engineering,81040,0.008161672,0.01991389
17-2160,Nuclear Engineers,Architecture/Engineering,103010,0.024192306,0.01704822
17-2170,Petroleum Engineers,Architecture/Engineering,107330,0.009663897,0.028675933
17-2190,Miscellaneous Engineers,Architecture/Engineering,85750,0.023477151,0.030642866
17-3010,Drafters,Architecture/Engineering,54270,0.024287445,0.014058028
17-3020,"Engineering Technologists and Technicians, Except Drafters",Architecture/Engineering,56250,0.024555943,0.024231357
17-3030,Surveying and Mapping Technicians,Architecture/Engineering,44180,0.023977462,0.016844337
19-0000,"Life, Physical, and Social Science Occupations","Life, Physical, and Social Science",59050,0.028186278,0.016438952
19-1010,Agricultural and Food Scientists,"Life, Physical, and Social Science",60900,0.026364086,0.025114739
19-1020,Biological Scientists,"Life, Physical, and Social Science",67720,0.029164584,0.024064923
19-1030,Conservation Scientists and Foresters,"Life, Physical, and Social Science",55500,0.015485573,0.018694093
19-1040,Medical Scientists,"Life, Physical, and Social Science",76820,0.023646019,0.026445904
19-1090,Miscellaneous Life Scientists,"Life, Physical, and Social Science",66340,0.025070447,0.032844439
19-2010,Astronomers and Physicists,"Life, Physical, and Social Science",113860,0.047397241,0.058200783
19-2020,Atmospheric and Space Scientists,"Life, Physical, and Social Science",69440,0.010935117,0.063700467
19-2030,Chemists and Materials Scientists,"Life, Physical, and Social Science",64880,0.020039248,0.023680688
19-2040,Environmental Scientists and Geoscientists,"Life, Physical, and Social Science",63540,0.015912288,0.010113884
19-2090,Miscellaneous Physical Scientists,"Life, Physical, and Social Science",82450,0.02242051,0.037024199
19-3010,Economists,"Life, Physical, and Social Science",82260,0.017350235,0.028052156
19-3020,Survey Researchers,"Life, Physical, and Social Science",46110,0.018320499,0.021417471
19-3030,Psychologists,"Life, Physical, and Social Science",71140,0.029856599,0.027770052
19-3040,Sociologists,"Life, Physical, and Social Science",78150,0.036733637,0.031010715
19-3050,Urban and Regional Planners,"Life, Physical, and Social Science",66210,0.023024968,0.00594333
19-3090,Miscellaneous Social Scientists and Related Workers,"Life, Physical, and Social Science",73570,0.029563491,0.030878775
19-4010,Agricultural and Food Science Technicians,"Life, Physical, and Social Science",40240,0.032263829,0.019412329
19-4020,Biological Technicians,"Life, Physical, and Social Science",45380,0.025016241,0.010665541
19-4030,Chemical Technicians,"Life, Physical, and Social Science",46680,0.029592516,0.035975048
19-4040,Environmental Science and Geoscience Technicians,"Life, Physical, and Social Science",38920,-0.011523033,0.04434446
19-4050,Nuclear Technicians,"Life, Physical, and Social Science",83330,0.030853144,0.058545915
19-4060,Social Science Research Assistants,"Life, Physical, and Social Science",46190,0.035793931,0.034980415
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians","Life, Physical, and Social Science",47370,0.04062022,0.055156143
21-0000,Community and Social Service Occupations,Public Service,45700,0.042087374,0.03392828
21-1010,Counselors,Public Service,47350,0.03295501,0.034330066
21-1020,Social Workers,Public Service,48680,0.033208956,0.033626579
21-1090,Miscellaneous Community and Social Service Specialists,Public Service,40340,0.034109316,0.015601025
