id,username,score,created_at,updated_at
1,alice,99,2025-12-01 17:25:26.057372+00,2025-12-01 17:26:58.602193+00
2,terps4thewin,67,2025-12-01 17:30:48.920729+00,2025-12-01 17:36:43.071891+00
3,terp,76,2025-12-01 22:39:03.3922+00,2025-12-01 22:39:13.562034+00
4,test123,76,2025-12-02 23:32:35.468088+00,2025-12-02 23:32:35.468088+00
5,guest,102,2025-12-02 23:43:00.762707+00,2025-12-02 23:43:00.762707+00
6,guest4life,161,2025-12-02 23:45:07.344733+00,2025-12-02 23:45:30.95191+00
7,guest4life123,218,2025-12-02 23:46:37.268752+00,2025-12-03 19:36:40.598016+00
8,n/a,76,2025-12-03 19:47:54.129693+00,2025-12-03 19:47:54.129693+00
9,Hi,0,2025-12-03 21:26:11.42444+00,2025-12-03 21:26:11.42444+00
10,Yay,0,2025-12-03 21:28:11.052536+00,2025-12-03 21:28:11.052536+00
11,Sanya123,0,2025-12-03 21:29:15.753569+00,2025-12-03 21:29:15.753569+00
12,YayIWon123,0,2025-12-03 21:31:23.598509+00,2025-12-03 21:31:23.598509+00
13,YayLetsGo,0,2025-12-03 21:34:28.430147+00,2025-12-03 21:34:28.430147+00
14,YASSSSS,125,2025-12-03 21:35:49.703761+00,2025-12-03 21:35:49.703761+00
15,SanyaIsAmazing,100,2025-12-03 22:05:20.017107+00,2025-12-03 22:05:20.017107+00
16,SanyaIsTheGoat,75,2025-12-03 22:06:10.559896+00,2025-12-03 22:06:10.559896+00
17,UMDolla$$,175,2025-12-04 00:40:21.889056+00,2025-12-04 00:40:21.889056+00
18,GitCheckoutDollar,175,2025-12-04 00:43:09.091126+00,2025-12-04 00:43:09.091126+00
